"filename", "language", "Dart", "comment", "blank", "total"
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/api/api_auth_provider.dart", "Dart", 287, 0, 26, 313
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/components/drawer.dart", "Dart", 142, 0, 3, 145
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/components/network_provider_card.dart", "Dart", 240, 0, 6, 246
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/components/top_card.dart", "Dart", 20, 9, 3, 32
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/MusicAnimation/bindings/music_animation_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/MusicAnimation/controllers/music_animation_controller.dart", "Dart", 40, 0, 7, 47
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/MusicAnimation/views/music_animation_view.dart", "Dart", 24, 0, 5, 29
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/MusicComponent/bindings/music_component_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/MusicComponent/controllers/music_component_controller.dart", "Dart", 23, 0, 5, 28
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/MusicComponent/views/music_component_view.dart", "Dart", 28, 0, 6, 34
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/call_ended/bindings/call_ended_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/call_ended/controllers/call_ended_controller.dart", "Dart", 28, 0, 4, 32
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/call_ended/views/call_ended_view.dart", "Dart", 146, 8, 5, 159
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/call_tracker/bindings/call_tracker_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/call_tracker/controllers/call_tracker_controller.dart", "Dart", 76, 0, 10, 86
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/call_tracker/views/call_tracker_view.dart", "Dart", 346, 0, 3, 349
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/create_account/bindings/create_account_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/create_account/controllers/create_account_controller.dart", "Dart", 15, 0, 5, 20
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/create_account/views/create_account_view.dart", "Dart", 287, 0, 7, 294
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/existing_customer/bindings/existing_customer_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/existing_customer/controllers/existing_customer_controller.dart", "Dart", 15, 0, 4, 19
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/existing_customer/views/existing_customer_view.dart", "Dart", 196, 1, 8, 205
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/frequently_asked_questions/bindings/frequently_asked_questions_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/frequently_asked_questions/controllers/frequently_asked_questions_controller.dart", "Dart", 40, 0, 8, 48
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/frequently_asked_questions/views/frequently_asked_questions_view.dart", "Dart", 216, 1, 6, 223
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/home/bindings/home_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/home/controllers/home_controller.dart", "Dart", 40, 0, 8, 48
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/home/views/home_view.dart", "Dart", 119, 1, 4, 124
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/home/views/privacy_policy_view.dart", "Dart", 59, 0, 3, 62
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/homepage/bindings/homepage_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/homepage/controllers/homepage_controller.dart", "Dart", 164, 2, 21, 187
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/homepage/views/homepage_view.dart", "Dart", 320, 0, 7, 327
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/init_page/bindings/init_page_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/init_page/controllers/init_page_controller.dart", "Dart", 9, 0, 3, 12
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/init_page/views/init_page_view.dart", "Dart", 53, 0, 5, 58
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/login_page/bindings/login_page_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/login_page/controllers/login_page_controller.dart", "Dart", 509, 3, 22, 534
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/login_page/views/login_page_view.dart", "Dart", 303, 0, 7, 310
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/profile_page/bindings/profile_page_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/profile_page/controllers/profile_page_controller.dart", "Dart", 16, 0, 5, 21
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/profile_page/views/profile_page_view.dart", "Dart", 72, 0, 3, 75
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/record_home_view/bindings/record_home_view_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/record_home_view/controllers/record_home_view_controller.dart", "Dart", 70, 1, 10, 81
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/record_home_view/views/record_home_view_view.dart", "Dart", 17, 4, 3, 24
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/record_intro/views/record_intro_view.dart", "Dart", 0, 317, 3, 320
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/recordaudio/bindings/recordaudio_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/recordaudio/controllers/recordaudio_controller.dart", "Dart", 261, 1, 45, 307
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/recordaudio/views/recordaudio_view.dart", "Dart", 635, 13, 6, 654
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/recording_list/bindings/recording_list_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/recording_list/controllers/recording_list_controller.dart", "Dart", 65, 0, 13, 78
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/recording_list/views/recording_list_view.dart", "Dart", 62, 1, 5, 68
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/service_page/bindings/service_page_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/service_page/controllers/service_page_controller.dart", "Dart", 70, 0, 10, 80
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/service_page/views/service_page_view.dart", "Dart", 407, 1, 8, 416
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/setting_page/bindings/setting_page_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/setting_page/controllers/setting_page_controller.dart", "Dart", 77, 0, 4, 81
